lr-AdamW,step,val_loss,epoch,train_loss_epoch,train_loss_step
0.0005,0,,,,
,2,15.024789810180664,0,,
,2,,0,15.337690353393555,
0.0005,3,,,,
,5,14.978405952453613,1,,
,5,,1,14.9164400100708,
0.0005,6,,,,
,8,14.883520126342773,2,,
,8,,2,14.643815040588379,
0.0005,9,,,,
,11,14.784564018249512,3,,
,11,,3,14.408333778381348,
0.0005,12,,,,
,14,14.593683242797852,4,,
,14,,4,14.13259506225586,
0.0005,15,,,,
,17,14.286619186401367,5,,
,17,,5,13.84868335723877,
0.0005,18,,,,
,20,13.915298461914062,6,,
,20,,6,13.546807289123535,
0.0005,21,,,,
,23,13.560506820678711,7,,
,23,,7,13.263867378234863,
0.0005,24,,,,
,26,13.281878471374512,8,,
,26,,8,12.915690422058105,
0.0005,27,,,,
,29,13.039216995239258,9,,
,29,,9,12.61256217956543,
0.0005,30,,,,
,32,12.882217407226562,10,,
,32,,10,12.225568771362305,
0.0005,33,,,,
,35,12.583281517028809,11,,
,35,,11,11.906180381774902,
0.0005,36,,,,
,38,11.904036521911621,12,,
,38,,12,11.64588737487793,
0.0005,39,,,,
,41,11.3325834274292,13,,
,41,,13,11.155403137207031,
0.0005,42,,,,
,44,11.056650161743164,14,,
,44,,14,10.743200302124023,
0.0005,45,,,,
,47,10.736001014709473,15,,
,47,,15,10.229340553283691,
0.0005,48,,,,
,49,,16,,9.94536018371582
,50,10.271382331848145,16,,
,50,,16,10.210966110229492,
0.0005,51,,,,
,53,10.382942199707031,17,,
,53,,17,9.655132293701172,
0.0005,54,,,,
,56,9.715825080871582,18,,
,56,,18,9.31283187866211,
0.0005,57,,,,
,59,9.1663236618042,19,,
,59,,19,8.829593658447266,
0.0005,60,,,,
,62,8.768542289733887,20,,
,62,,20,8.388057708740234,
0.0005,63,,,,
,65,8.670504570007324,21,,
,65,,21,7.830598831176758,
0.0005,66,,,,
,68,8.840669631958008,22,,
,68,,22,7.488077163696289,
0.0005,69,,,,
,71,8.1722412109375,23,,
,71,,23,7.241776466369629,
0.0005,72,,,,
,74,7.257713317871094,24,,
,74,,24,7.262638568878174,
0.0005,75,,,,
,77,7.163651943206787,25,,
,77,,25,6.323169708251953,
0.0005,78,,,,
,80,7.00030517578125,26,,
,80,,26,6.556422710418701,
0.0005,81,,,,
,83,6.548997402191162,27,,
,83,,27,5.649410247802734,
0.0005,84,,,,
,86,6.549893379211426,28,,
,86,,28,5.259513854980469,
0.0005,87,,,,
,89,5.967050075531006,29,,
,89,,29,5.168021202087402,
0.0005,90,,,,
,92,5.593545436859131,30,,
,92,,30,5.663870811462402,
0.0005,93,,,,
,95,5.223667144775391,31,,
,95,,31,5.481324195861816,
0.0005,96,,,,
,98,5.209593772888184,32,,
,98,,32,5.1778950691223145,
0.0005,99,,,,
,99,,33,,4.444881916046143
,101,5.26017427444458,33,,
,101,,33,3.982225179672241,
0.0005,102,,,,
,104,5.055446147918701,34,,
,104,,34,3.898620367050171,
0.0005,105,,,,
,107,5.152068138122559,35,,
,107,,35,3.7917280197143555,
0.0005,108,,,,
,110,4.482698917388916,36,,
,110,,36,3.151169776916504,
0.0005,111,,,,
,113,3.9187674522399902,37,,
,113,,37,3.8663666248321533,
0.0005,114,,,,
,116,3.544839859008789,38,,
,116,,38,3.539100408554077,
0.0005,117,,,,
,119,3.8368210792541504,39,,
,119,,39,3.1197004318237305,
0.0005,120,,,,
,122,3.129244565963745,40,,
,122,,40,3.1923983097076416,
